Date,Value,Value
01-22-15,4924.07,2061.23
01-21-15,4915.1499999999996,2012.89
01-20-15,4885.83,1972.74
01-19-15,4871.95,1989.63
01-16-15,4825.18,2002.33
01-15-15,4826.6000000000004,2035.33
01-14-15,4783.3999999999996,2026.14
01-13-15,4832.97,2059.8200000000002
01-12-15,4806.46,2060.31
01-09-15,4800.84,2075.37
01-08-15,4815.8100000000004,2071.92
01-07-15,4715.13,2074.33
01-06-15,4739.57,2066.5500000000002
01-05-15,4795.66,2053.44
01-02-15,4901.5600000000004,2067.56
01-01-15,4934.0600000000004,2072.83
12-31-14,4934,2067.0300000000002
12-30-14,4941.53,2069.41
12-29-14,4980.54,2063.5
12-26-14,4969.32,2052.75
12-25-14,4967.16,2048.7199999999998
12-24-14,4970.2,2051.8000000000002
12-23-14,4954.74,2041.32
12-22-14,4961.34,2039.82
12-19-14,4943.66,2039.33
12-18-14,4902.3500000000004,2038.25
12-17-14,4829.29,2039.68
12-16-14,4848.5600000000004,2038.26
12-15-14,4785.7,2031.92
12-12-14,4883.51,2031.21
12-11-14,4940.74,2023.57
12-10-14,4966.21,2012.1
12-09-14,5014.5,2017.81
12-08-14,5045.1899999999996,2018.05
12-05-14,5075.6400000000003,1994.65
12-04-14,5073.2,1982.3
12-03-14,5085.97,1985.05
12-02-14,5087.72,1961.63
12-01-14,5088,1964.58
11-28-14,5103.6899999999996,1950.82
11-27-14,5120.46,1927.11
11-26-14,5143.1400000000003,1941.28
11-25-14,5126.62,1904.01
11-24-14,5099.7700000000004,1886.76
11-21-14,5100.21,1862.76
11-20-14,5055.57,1862.49
11-19-14,5064.21,1877.7
11-18-14,5077.97,1874.74
11-17-14,5021.32,1906.13
11-14-14,5040.68,1928.21
11-13-14,5036.47,1968.89
11-12-14,5029.5,1935.1
11-11-14,5037.7299999999996,1964.82
11-10-14,5027.8100000000004,1967.9
11-07-14,4994.59,1946.17
11-06-14,5000.17,1946.16
11-05-14,5018.34,1972.29
11-04-14,4997.2700000000004,1977.8
11-03-14,4980.42,1982.85
10-31-14,5041.7,1965.99
10-30-14,4990.24,1998.3
10-29-14,5012.08,1982.77
10-28-14,4987.92,1994.29
10-27-14,4944.5200000000004,2010.4
10-24-14,4940.71,2011.36
10-23-14,4932.51,2001.57
10-22-14,4922.8500000000004,1998.98
10-21-14,4899.87,1984.13
10-20-14,4852.97,1985.54
10-17-14,4824.71,1997.45
10-16-14,4759.8100000000004,1995.69
10-15-14,4781.8100000000004,1988.44
10-14-14,4841.97,2001.54
10-13-14,4871.87,2007.71
10-10-14,4855.3100000000004,1997.65
10-09-14,4959.55,2000.72
10-08-14,4964.53,2002.28
10-07-14,4992.12,2003.37
10-06-14,5020.51,1996.74
10-03-14,4979.54,2000.12
10-02-14,5001.1899999999996,2000.02
10-01-14,5078.8599999999997,1997.92
09-30-14,5123.16,1988.4
09-29-14,5129.1400000000003,1992.37
09-26-14,5151.62,1986.51
09-25-14,5169.29,1981.6
09-24-14,5203.92,1971.74
09-23-14,5204.5600000000004,1955.06
09-22-14,5235.9799999999996,1955.18
09-19-14,5274.23,1946.72
09-18-14,5286.92,1933.75
09-17-14,5266.89,1936.92
09-16-14,5255.76,1931.59
09-15-14,5265.76,1909.57
09-12-14,5274.91,1920.24
09-11-14,5285.6,1920.21
09-10-14,5283.96,1938.99
09-09-14,5289.27,1925.15
09-08-14,5321.47,1930.67
09-05-14,5344.98,1970.07
09-04-14,5364.63,1969.95
09-03-14,5376.39,1978.91
09-02-14,5336.37,1978.34
09-01-14,5340.47,1987.98
08-29-14,5342.59,1987.01
08-28-14,5335.06,1983.53
08-27-14,5367.55,1973.63
08-26-14,5356.74,1978.22
08-25-14,5337.27,1958.12
